"Room","Room Capacity","Building"
"A001",30,"Lab"
"A101",30,"Lab"
"A303",30,"Lab"
"B003",30,"Lab"
"B004",30,"Lab"
"B110",30,"Lab"
"B113",30,"Lab"
"B206",30,"Lab"
"B212",30,"Lab"
"B214",30,"Lab"
"B308",30,"Lab"
"B312",30,"Lab"
"B316",30,"Lab"
"C009",30,"Lab"
"C010",30,"Lab"
"C017",30,"Lab"
"C105",30,"Lab"
"C112",30,"Lab"
"C114",30,"Lab"
"C117",30,"Lab"
"C201",30,"Lab"
"C205",30,"Lab"
"C206",30,"Lab"
"C217",30,"Lab"
"C303",30,"Lab"
"C305",30,"Lab"
"C308",30,"Lab"
"C315",30,"Lab"
"D004",30,"Lab"
"D013",30,"Lab"
"D018",30,"Lab"
"D112",30,"Lab"
"D113",30,"Lab"
"D114",30,"Lab"
"D117",30,"Lab"
"D215",30,"Lab"
"D313",30,"Lab"
"D317",30,"Lab"
"A216",100,"ABCD"
"A218",100,"ABCD"
"B007",100,"ABCD"
"B012",100,"ABCD"
"B016",100,"ABCD"
"B108",100,"ABCD"
"B117",100,"ABCD"
"B121",100,"ABCD"
"B217",100,"ABCD"
"B219",100,"ABCD"
"B309",100,"ABCD"
"B311",100,"ABCD"
"B315",100,"ABCD"
"D003",100,"ABCD"
"D006",100,"ABCD"
"D007",100,"ABCD"
"D022",100,"ABCD"
"D026",100,"ABCD"
"D102",100,"ABCD"
"D106",100,"ABCD"
"D110",100,"ABCD"
"D116",100,"ABCD"
"D118",100,"ABCD"
"D120",100,"ABCD"
"D122",100,"ABCD"
"D202",100,"ABCD"
"D205",100,"ABCD"
"D206",100,"ABCD"
"D207",100,"ABCD"
"D210",100,"ABCD"
"D214",100,"ABCD"
"D216",100,"ABCD"
"D218",100,"ABCD"
"D220",100,"ABCD"
"D222",100,"ABCD"
"D226",100,"ABCD"
"D217",100,"ABCD"
"D302",100,"ABCD"
"D305",100,"ABCD"
"D306",100,"ABCD"
"D307",100,"ABCD"
"D310",100,"ABCD"
"D316",100,"ABCD"
