"Year","Number of Students per Year","Group","Number of Students per Group","Subgroup","Number of Students per Subgroup"
"year1",22,,,,
"year1",22,"BIO1",1,,
"year1",22,"BMS11",1,,
"year1",22,"BMS12",1,,
"year1",22,"CED1",1,,
"year1",22,"CHD1",1,,
"year1",22,"CHY1",1,,
"year1",22,"CSD11",1,,
"year1",22,"CSD12",1,,
"year1",22,"CSD13",1,,
"year1",22,"ECE11",1,,
"year1",22,"ECE12",1,,
"year1",22,"ECO1",1,,
"year1",22,"EEE11",1,,
"year1",22,"EEE12",1,,
"year1",22,"ENG1",1,,
"year1",22,"HIS1",1,,
"year1",22,"INT1",1,,
"year1",22,"MAT1",1,,
"year1",22,"MED11",1,,
"year1",22,"MED12",1,,
"year1",22,"PHY1",1,,
"year1",22,"SOC1",1,,
"year2",18,,,,
"year2",18,"BIO2",1,,
"year2",18,"BMS2",1,,
"year2",18,"CED2",1,,
"year2",18,"CHD2",1,,
"year2",18,"CHY2",1,,
"year2",18,"CSD21",1,,
"year2",18,"CSD22",1,,
"year2",18,"ECE21",1,,
"year2",18,"ECE22",1,,
"year2",18,"ECO2",1,,
"year2",18,"EEE2",1,,
"year2",18,"ENG2",1,,
"year2",18,"HIS2",1,,
"year2",18,"INT2",1,,
"year2",18,"MAT2",1,,
"year2",18,"MED2",1,,
"year2",18,"PHY2",1,,
"year2",18,"SOC2",1,,
"year3",19,,,,
"year3",19,"BIO3",1,,
"year3",19,"BMS3",1,,
"year3",19,"CED3",1,,
"year3",19,"CHD3",1,,
"year3",19,"CHY3",1,,
"year3",19,"CSD31",1,,
"year3",19,"CSD32",1,,
"year3",19,"ECE31",1,,
"year3",19,"ECE32",1,,
"year3",19,"ECO3",1,,
"year3",19,"EEE3",1,,
"year3",19,"ENG3",1,,
"year3",19,"HIS3",1,,
"year3",19,"INT3",1,,
"year3",19,"MAT3",1,,
"year3",19,"MED31",1,,
"year3",19,"MED32",1,,
"year3",19,"PHY3",1,,
"year3",19,"SOC3",1,,
"year4",18,,,,
"year4",18,"BIO4",1,,
"year4",18,"BMS4",1,,
"year4",18,"CED4",1,,
"year4",18,"CHD4",1,,
"year4",18,"CHY4",1,,
"year4",18,"CSD4",1,,
"year4",18,"ECE41",1,,
"year4",18,"ECE42",1,,
"year4",18,"ECO4",1,,
"year4",18,"EEE4",1,,
"year4",18,"ENG4",1,,
"year4",18,"HIS4",1,,
"year4",18,"MAT4",1,,
"year4",18,"MED41",1,,
"year4",18,"MED42",1,,
"year4",18,"MED43",1,,
"year4",18,"PHY4",1,,
"year4",18,"SOC4",1,,
